assessment,farm_type,stage,process,input,drop_down,input_label,emission_factor,gwp_unit,reference_year,min,max,avg,step_value,unit
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,none,Infrastructure and Equipment Electricity,0.00,kg CO2/kWh,NA,0,0,0,0,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,US Grid Mix,Infrastructure and Equipment Electricity,0.48,kg CO2/kWh,2018,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,EU-28 Grid Mix,Infrastructure and Equipment Electricity,0.44,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,UK Grid Mix,Infrastructure and Equipment Electricity,0.52,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,Japan Grid Mix,Infrastructure and Equipment Electricity,0.67,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,China Grid Mix,Infrastructure and Equipment Electricity,0.90,kg CO2/kWh,2011,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,fuel to Harvest fertile material,none,Fuel to Harvest Fertile Material - Vegetative Cuttings,0.00,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,fuel to Harvest fertile material,US Diesel,Fuel to Harvest Fertile Material - Vegetative Cuttings,3.20,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,fuel to Harvest fertile material,US Gasoline,Fuel to Harvest Fertile Material - Vegetative Cuttings,3.00,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,fuel to Harvest fertile material,none,Fuel to Harvest Fertile Material- Nursery,0.00,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,fuel to Harvest fertile material,US Diesel,Fuel to Harvest Fertile Material- Nursery,3.20,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,fuel to Harvest fertile material,US Gasoline,Fuel to Harvest Fertile Material- Nursery,3.00,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,none,Nursery and Equipment Electricty Use,0.00,kg CO2/kWh,NA,0,0,0,0,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,US Grid Mix,Nursery and Equipment Electricty Use,0.48,kg CO2/kWh,2018,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,EU-28 Grid Mix,Nursery and Equipment Electricty Use,0.44,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,UK Grid Mix,Nursery and Equipment Electricty Use,0.52,kg CO2/kWh,2013,1,960,22.4,1,kWh
