assessment,farm_type,stage,process,input,drop_down,input_label,emission_factor,gwp_unit,reference_year,min,max,avg,step_value,unit
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,none,Infrastructure and Equipment Electricity,0,kg CO2/kWh,NA,0,0,0,0,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,US Grid Mix,Infrastructure and Equipment Electricity,0.48,kg CO2/kWh,2018,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,EU-28 Grid Mix,Infrastructure and Equipment Electricity,0.44,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,UK Grid Mix,Infrastructure and Equipment Electricity,0.52,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,Japan Grid Mix,Infrastructure and Equipment Electricity,0.67,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,infrastructure and equipment electricity,China Grid Mix,Infrastructure and Equipment Electricity,0.9,kg CO2/kWh,2011,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,fuel to Harvest fertile material,none,Fuel to Harvest Fertile Material - Vegetative Cuttings,0,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,fuel to Harvest fertile material,US Diesel,Fuel to Harvest Fertile Material - Vegetative Cuttings,3.2,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Vegetative Cutting,fuel to Harvest fertile material,US Gasoline,Fuel to Harvest Fertile Material - Vegetative Cuttings,3,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,fuel to Harvest fertile material,none,Fuel to Harvest Fertile Material - Nursery,0,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,fuel to Harvest fertile material,US Diesel,Fuel to Harvest Fertile Material - Nursery,3.2,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,fuel to Harvest fertile material,US Gasoline,Fuel to Harvest Fertile Material - Nursery,3,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,none,Nursery and Equipment Electricity Use,0,kg CO2/kWh,NA,0,0,0,0,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,US Grid Mix,Nursery and Equipment Electricity Use,0.48,kg CO2/kWh,2018,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,EU-28 Grid Mix,Nursery and Equipment Electricity Use,0.44,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,UK Grid Mix,Nursery and Equipment Electricity Use,0.52,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,Japan Grid Mix,Nursery and Equipment Electricity Use,0.67,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,China Grid Mix,Nursery and Equipment Electricity Use,0.9,kg CO2/kWh,2011,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,nutrient medium,none,Nutrient Medium,0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,nutrient medium,Ammonium Nitrate,Nutrient Medium,3.2,kg CO2/kg,,1,1000,500.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,nutrient medium,Sodium Phosphate,Nutrient Medium,0.05,kg CO2/kg,,1,1000,500.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,none,Culture String,0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,Polyamide Fibers,Culture String,10.7,kg CO2/kg,2016,25,50,37.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,PP Fibers,Culture String,2.31,kg CO2/kg,2016,25,50,37.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,PET Fibers,Culture String,4.67,kg CO2/kg,2016,25,50,37.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,RPET Fibers,Culture String,0.98,kg CO2/kg,,25,50,37.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,Nylon 66,Culture String,8.04,kg CO2/kg,2015,25,50,37.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,none,Long Line,0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,Polyamide Fibers,Long Line,2.14,kg CO2/kg,2016,111,720,415.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,PP Fibers,Long Line,0.462,kg CO2/kg,2016,111,720,415.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,PET Fibers,Long Line,0.934,kg CO2/kg,2016,111,720,415.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,RPET Fibers,Long Line,0.196,kg CO2/kg,,111,720,415.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,Nylon 66,Long Line,1.608,kg CO2/kg,2015,111,720,415.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,none,Electricity for Equipment,0,kg CO2/kWh,NA,0,0,0,0,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,US Grid Mix,Electricity for Equipment,0.48,kg CO2/kWh,2018,1,960,22.4,,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,EU-28 Grid Mix,Electricity for Equipment,0.44,kg CO2/kWh,2013,1,960,22.4,,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,UK Grid Mix,Electricity for Equipment,0.52,kg CO2/kWh,2013,1,960,22.4,,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,Japan Grid Mix,Electricity for Equipment,0.67,kg CO2/kWh,2013,1,960,22.4,,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,China Grid Mix,Electricity for Equipment,0.9,kg CO2/kWh,2011,1,960,22.4,,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,none,Fuel for Equipment,0,kg CO2/l,NA,0,0,0,0,liter
