assessment,farm_type,stage,process,input,drop_down,emission_factor,unit,reference_year,min,max,avg,step_value,unit
seaweed cultivation and harvest,long-line,propagule production,vegetative cutting,infrastructure and equipment electricity,none,0,kg CO2/kWh,NA,0,0,0,0,kWh
seaweed cultivation and harvest,long-line,propagule production,vegetative cutting,infrastructure and equipment electricity,US Grid Mix,0.476,kg CO2/kWh,2018,1,960,22.4,1,kWh
seaweed cultivation and harvest,long-line,propagule production,vegetative cutting,infrastructure and equipment electricity,EU-28 Grid Mix,0.444,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and harvest,long-line,propagule production,vegetative cutting,infrastructure and equipment electricity,UK Grid Mix,0.524,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and harvest,long-line,propagule production,vegetative cutting,infrastructure and equipment electricity,Japan Grid Mix,0.673,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and harvest,long-line,propagule production,vegetative cutting,infrastructure and equipment electricity,China Grid Mix,0.902,kg CO2/kWh,2011,1,960,22.4,1,kWh
seaweed cultivation and harvest,long-line,propagule production,vegetative cutting,fuel to harvest fertile material,none,0,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and harvest,long-line,propagule production,vegetative cutting,fuel to harvest fertile material,US diesel,3.2,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and harvest,long-line,propagule production,vegetative cutting,fuel to harvest fertile material,US gasoline,3.0,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and harvest,long-line,propagule production,nursery,fuel to harvest fertile material,none,0.0,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and harvest,long-line,propagule production,nursery,fuel to harvest fertile material,US diesel,3.2,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and harvest,long-line,propagule production,nursery,fuel to harvest fertile material,US gasoline,3.0,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and harvest,long-line,propagule production,nursery,nursery and equipment electricity use,none,0.0,kg CO2/kWh,NA,0,0,0,0,kWh
seaweed cultivation and harvest,long-line,propagule production,nursery,nursery and equipment electricity use,US Grid Mix,0.476,kg CO2/kWh,2018,1,960,22.4,1,kWh
