id,assessment,farm_name,farm_type,crop_type,stage,process,input,material,value,unit,gwp_hectarefarm,gwp_mt_seaweed,total_gwp_farm,stage_total,process_total,gwp_kl,percent_total,emission_factor,reference
1,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Propagule Production,vegetative cutting,building infrastructure,agricultural shed,1.33,m^2,1.805,0.15,143.77,1.02,1.02,,0.001,1.36,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
2,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Propagule Production,vegetative cutting,electricity for lamps,electricity,22.4,kWh,10.7,0.87,143.77,1.02,1.02,,0.0061,0.48,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
3,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Ocean Cultivation and Harvest,seeding,long-line,polyamide,111.9,kg,1190.4,96.66,143.77,142.75,96.66,,0.6723,10.64,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
4,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Ocean Cultivation and Harvest,ocean deployment,support lines,polyamide,21.5,kg,229,18.6,143.77,142.75,44.24,,0.1294,10.65,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
5,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Ocean Cultivation and Harvest,ocean deployment,anchor,concrete,952,kg,120,9.74,143.77,142.75,44.24,,0.0677,0.13,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
6,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Ocean Cultivation and Harvest,ocean deployment,chains,steel,38.4,kg,95.7,7.77,143.77,142.75,44.24,,0.054,2.49,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
7,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Ocean Cultivation and Harvest,ocean deployment,buoys,polyethylene,52.5,kg,100,8.12,143.77,142.75,44.24,,0.0565,1.9,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
8,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Ocean Cultivation and Harvest,ocean deployment,fuel,diesel,0.045,kg,0.16947,0.01,143.77,142.75,44.24,,0.0001,3.77,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
9,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Ocean Cultivation and Harvest,monitoring,fuel,diesel,0.68,kg,2.56086,0.2,143.77,142.75,0.45,,0.0014,3.77,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
10,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Ocean Cultivation and Harvest,monitoring,monitoring vessel,aluminum,0.36,kg,3.09,0.25,143.77,142.75,0.45,,0.0017,8.58,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
11,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Ocean Cultivation and Harvest,harvest,fuel,diesel,4.78,kg,18.0013,1.4,143.77,142.75,1.4,,0.0097,3.77,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
12,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,building infrastructure,agricultural shed,0.67,m^2,0.91,0.06,175.29,69.29,69.29,,0.000342,1.36,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production. Journal of Cleaner Production, 75, 45–56."
