id,assessment,farm_name,farm_type,crop_type,stage,process,input,material,value,unit,gwp_hectarefarm,gwp_mt_seaweed,total_gwp_farm,stage_total,process_total,gwp_kl,percent_total,emission_factor,reference
1,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Propagule Production,Vegetative Cutting,building infrastructure,agricultural shed,1.33,m^2,1.805,0.15,143.77,1.02,1.02,,0.001,1.36,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production.ÊJournal of Cleaner Production,Ê75, 45_56."
2,seaweed cultivation and harvest,Farm 1,long-line,Gracilaria chilensis,Propagule Production,Vegetative Cutting,electricity for lamps,electricity,22.4,kWh,10.7,0.87,143.77,1.02,1.02,,0.0061,0.48,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production.ÊJournal of Cleaner Production,Ê75, 45_56."
12,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,building infrastructure,agricultural shed,0.67,m^2,0.91,0.06,175.29,69.29,69.29,,0.000342,1.36,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production.ÊJournal of Cleaner Production,Ê75, 45_56."
13,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,electricity for lamps,electricity,960,kWh,457,31.66,175.29,69.29,69.29,,0.18064,0.48,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production.ÊJournal of Cleaner Production,Ê75, 45_56."
14,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,electricity for pumping,electricity,0.62,kWh,0.3,0.02,175.29,69.29,69.29,,0.000117,0.48,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production.ÊJournal of Cleaner Production,Ê75, 45_56."
15,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,electricity for aeration,electricity,8.05,kWh,4,0.27,175.29,69.29,69.29,,0.001515,0.5,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production.ÊJournal of Cleaner Production,Ê75, 45_56."
16,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,electricity for water treatment,electricity,3.02,kWh,1,0.1,175.29,69.29,69.29,,0.000568,0.33,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production.ÊJournal of Cleaner Production,Ê75, 45_56."
17,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,nutrient medium,ammonium nitrate,0.25,kg,0.8,0.049,175.29,69.29,69.29,,0.000278,3.2,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production.ÊJournal of Cleaner Production,Ê75, 45_56."
18,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,nutrient medium,sodium phosphate,0.38,kg,0.02,0.001,175.29,69.29,69.29,,0.000007,0.05,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production.ÊJournal of Cleaner Production,Ê75, 45_56."
19,seaweed cultivation and harvest,Farm 2,long-line,Macrocystis pyrifera,Propagule Production,nursery,seed string,polyamide,50.4,kg,536,37.13,175.29,69.29,69.29,,0.21182,10.63,"Aitken, D., Bulboa, C., Godoy-Faundez, A., Turrion-Gomez, J. L., & Antizar-Ladislao, B. (2014). Life cycle assessment of macroalgae cultivation and processing for biofuel production.ÊJournal of Cleaner Production,Ê75, 45_56."
